Player,Season,TeamID,TeamName,FirstName,LastName,AdditionalName,Rk,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shelton Mitchell,2018,1155,Clemson,Shelton,Mitchell,,4,33,32,33.4,3.7,9.3,0.39899999999999997,2.2,5.2,0.424,1.5,4.1,0.368,3.3,3.8,0.857,0.4,2.6,3.0,3.6,0.8,0.0,2.0,1.4,12.2
Elijah Thomas,2018,1155,Clemson,Elijah,Thomas,,5,35,32,25.0,4.1,7.4,0.56,4.1,7.4,0.56,0.0,0.0,,2.4,3.8,0.619,2.3,5.8,8.1,1.1,0.6,2.3,2.1,3.2,10.7
Aamir Simms,2018,1155,Clemson,Aamir,Simms,,6,34,12,15.4,1.6,3.3,0.473,1.1,2.0,0.565,0.4,1.3,0.326,0.4,0.8,0.5770000000000001,0.8,2.4,3.2,0.6,0.2,0.9,0.6,1.3,4.0
Mark Donnal,2018,1155,Clemson,Mark,Donnal,,7,34,3,12.5,1.4,2.6,0.523,0.8,1.4,0.565,0.6,1.2,0.47600000000000003,0.4,0.6,0.737,0.5,1.1,1.6,0.3,0.2,0.3,0.4,1.8,3.7
David Skara,2018,1155,Clemson,David,Skara,,8,26,7,19.3,1.2,2.7,0.423,1.0,1.9,0.51,0.2,0.8,0.22699999999999998,0.8,1.3,0.588,0.9,1.9,2.8,0.4,0.6,0.5,1.0,2.3,3.3
A.J. Oliver II,2018,1155,Clemson,A.J.,Oliver,II,9,19,0,7.2,0.6,1.8,0.314,0.1,0.5,0.222,0.5,1.4,0.34600000000000003,0.5,0.6,0.818,0.3,1.1,1.4,0.3,0.3,0.0,0.3,0.8,2.1
Clyde Trapp,2018,1155,Clemson,Clyde,Trapp,,10,29,0,7.8,0.6,1.4,0.39,0.3,0.7,0.45,0.2,0.7,0.33299999999999996,0.5,0.7,0.737,0.0,0.6,0.7,0.6,0.1,0.1,0.5,0.9,1.8
Malik William,2018,1155,Clemson,Malik,William,,11,17,0,4.4,0.6,1.6,0.37,0.5,1.4,0.375,0.1,0.2,0.33299999999999996,0.2,0.4,0.667,0.8,0.7,1.5,0.2,0.1,0.2,0.1,0.6,1.5
Scott Spencer,2018,1155,Clemson,Scott,Spencer,,12,19,0,7.7,0.5,2.1,0.25,0.4,0.9,0.41200000000000003,0.2,1.2,0.13,0.1,0.1,0.5,0.2,0.5,0.6,0.3,0.1,0.1,0.2,0.7,1.3
Lyles Davis,2018,1155,Clemson,Lyles,Davis,,13,4,0,2.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.0,0.0
Isaac Fields,2018,1155,Clemson,Isaac,Fields,,14,4,0,1.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Marcquise Reed,2019,1155,Clemson,Marcquise,Reed,,1,31,30,35.4,6.5,14.8,0.44,5.0,10.5,0.475,1.5,4.4,0.35600000000000004,4.8,5.7,0.843,0.7,4.8,5.5,3.1,2.1,0.0,2.7,1.9,19.4
Elijah Thomas,2019,1155,Clemson,Elijah,Thomas,,2,34,32,25.7,5.1,8.3,0.612,5.1,8.2,0.614,0.0,0.0,0.0,2.9,4.5,0.638,2.5,5.3,7.8,1.4,0.8,2.2,2.8,3.3,13.0
Shelton Mitchell,2019,1155,Clemson,Shelton,Mitchell,,3,32,32,32.8,3.8,9.9,0.379,2.3,5.3,0.426,1.5,4.6,0.324,2.5,3.0,0.833,0.4,2.3,2.7,3.0,1.0,0.0,2.3,1.0,11.5
Aamir Simms,2019,1155,Clemson,Aamir,Simms,,4,34,34,26.6,3.1,7.0,0.441,1.9,3.4,0.556,1.2,3.6,0.331,0.7,0.9,0.75,1.5,3.1,4.6,1.0,0.6,0.7,1.3,2.4,8.1
David Skara,2019,1155,Clemson,David,Skara,,5,33,32,31.2,2.7,5.8,0.46799999999999997,1.7,3.0,0.5660000000000001,1.0,2.8,0.363,1.2,1.6,0.722,1.1,3.1,4.2,1.5,0.7,0.5,1.2,2.1,7.6
Clyde Trapp,2019,1155,Clemson,Clyde,Trapp,,6,34,7,24.0,2.0,5.1,0.39899999999999997,1.3,2.6,0.489,0.8,2.5,0.306,1.2,1.8,0.645,0.4,2.9,3.4,1.6,0.8,0.2,1.7,2.1,6.0
John Newman III,2019,1155,Clemson,John,Newman,III,7,34,1,12.0,0.8,2.1,0.384,0.6,1.3,0.42200000000000004,0.3,0.8,0.321,0.2,0.3,0.545,0.4,1.3,1.8,0.4,0.4,0.1,0.6,0.9,2.1
Javan White,2019,1155,Clemson,Javan,White,,8,33,2,8.4,0.8,1.5,0.56,0.8,1.5,0.56,0.0,0.0,,0.3,0.7,0.45799999999999996,0.7,1.3,2.0,0.2,0.2,0.4,0.4,1.6,2.0
Hunter Tyson,2019,1155,Clemson,Hunter,Tyson,,9,31,0,8.3,0.5,2.0,0.254,0.2,0.5,0.313,0.4,1.5,0.23399999999999999,0.2,0.3,0.667,0.2,0.8,1.0,0.4,0.1,0.3,0.2,0.6,1.6
Parker Fox,2019,1155,Clemson,Parker,Fox,,10,5,0,1.0,0.2,0.4,0.5,0.0,0.0,,0.2,0.4,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6
Lyles Davis,2019,1155,Clemson,Lyles,Davis,,11,8,0,0.9,0.1,0.6,0.2,0.0,0.3,0.0,0.1,0.4,0.33299999999999996,0.0,0.0,,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.4
Trey Jemison,2019,1155,Clemson,Trey,Jemison,,12,20,0,3.6,0.1,0.3,0.33299999999999996,0.1,0.3,0.33299999999999996,0.0,0.0,,0.2,0.3,0.6,0.3,0.6,0.8,0.1,0.1,0.3,0.2,0.9,0.4
Trey Lewis,2015,1156,Cleveland St,Trey,Lewis,,1,33,33,35.5,5.6,12.6,0.446,2.7,5.8,0.474,2.9,6.9,0.423,2.6,3.5,0.757,0.8,3.6,4.4,2.8,1.2,0.2,2.3,2.0,16.8
Anton Grady,2015,1156,Cleveland St,Anton,Grady,,2,33,33,29.8,5.8,11.8,0.488,5.7,11.5,0.491,0.1,0.3,0.4,3.0,4.7,0.645,2.3,5.6,7.9,1.8,1.5,1.4,2.2,3.1,14.7
Charlie Lee,2015,1156,Cleveland St,Charlie,Lee,,3,26,25,35.8,4.2,8.9,0.474,2.0,4.2,0.47200000000000003,2.3,4.8,0.47600000000000003,2.7,3.0,0.873,0.6,2.5,3.1,4.0,0.8,0.0,2.2,2.3,13.4
Marlin Mason,2015,1156,Cleveland St,Marlin,Mason,,4,30,28,26.1,3.2,6.6,0.49,2.3,4.2,0.56,0.9,2.4,0.37,1.2,1.8,0.679,1.7,3.2,4.9,0.8,0.7,1.1,1.7,2.8,8.6
Andre Yates,2015,1156,Cleveland St,Andre,Yates,,5,32,21,22.0,2.3,5.5,0.426,1.5,2.9,0.527,0.8,2.6,0.313,0.8,1.2,0.632,0.7,1.0,1.7,0.8,1.4,0.1,1.0,2.6,6.3
Kaza Keane,2015,1156,Cleveland St,Kaza,Keane,,6,33,20,21.5,1.7,4.1,0.41,1.3,2.7,0.478,0.4,1.3,0.273,0.8,1.3,0.591,0.7,1.3,1.9,2.2,1.0,0.0,0.8,1.8,4.5
Vinny Zollo,2015,1156,Cleveland St,Vinny,Zollo,,7,33,5,12.9,1.2,3.8,0.331,0.6,1.8,0.36200000000000004,0.6,2.0,0.303,0.6,0.9,0.7,0.8,1.9,2.7,0.7,0.2,0.3,0.7,1.5,3.7
Demonte Flannigan,2015,1156,Cleveland St,Demonte,Flannigan,,8,29,0,7.2,0.8,1.4,0.6,0.8,1.3,0.615,0.0,0.0,0.0,0.2,0.7,0.316,0.6,0.7,1.2,0.1,0.1,0.2,0.4,1.0,1.9
Terrell Hales,2015,1156,Cleveland St,Terrell,Hales,,9,31,0,10.5,0.4,0.9,0.444,0.4,0.7,0.524,0.0,0.2,0.16699999999999998,0.5,0.6,0.778,0.7,0.8,1.5,0.6,0.7,0.0,0.5,1.0,1.3
Aaron Scales,2015,1156,Cleveland St,Aaron,Scales,,10,23,0,5.6,0.5,1.1,0.423,0.5,1.1,0.423,0.0,0.0,,0.1,0.3,0.375,0.7,0.5,1.2,0.1,0.2,0.1,0.5,1.3,1.1
Kenny Carpenter,2015,1156,Cleveland St,Kenny,Carpenter,,11,22,0,6.8,0.4,1.3,0.276,0.3,0.8,0.33299999999999996,0.1,0.5,0.182,0.2,0.4,0.625,0.5,0.7,1.2,0.5,0.1,0.0,0.5,0.9,1.0
Khyler Fields,2015,1156,Cleveland St,Khyler,Fields,,12,2,0,3.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0
Derek Sloan,2015,1156,Cleveland St,Derek,Sloan,,13,21,0,5.9,0.4,0.8,0.529,0.4,0.8,0.529,0.0,0.0,,0.2,0.4,0.5,0.1,0.7,0.8,0.2,0.1,0.1,0.1,1.1,1.0
David Goodwater,2015,1156,Cleveland St,David,Goodwater,,14,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Tim Hasbargen,2015,1156,Cleveland St,Tim,Hasbargen,,15,4,0,5.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Rob Edwards,2016,1156,Cleveland St,Rob,Edwards,,1,32,29,31.1,4.1,10.3,0.39299999999999996,2.5,6.5,0.391,1.5,3.9,0.395,2.8,3.7,0.748,0.7,3.3,3.9,1.4,1.2,0.0,3.4,2.2,12.4
Demonte Flannigan,2016,1156,Cleveland St,Demonte,Flannigan,,2,30,30,23.2,4.7,9.8,0.485,4.5,9.1,0.496,0.2,0.7,0.33299999999999996,1.7,2.6,0.667,1.5,3.9,5.4,0.8,0.3,0.9,1.6,2.4,11.4
Andre Yates,2016,1156,Cleveland St,Andre,Yates,,3,30,28,28.3,3.4,9.4,0.363,2.3,6.0,0.391,1.1,3.4,0.314,1.2,2.0,0.617,0.8,1.4,2.2,2.1,0.8,0.1,1.9,3.2,9.1
