Player,Season,TeamID,TeamName,FirstName,LastName,AdditionalName,Rk,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Harrison Hawkins,2015,1101,Abilene Chr,Harrison,Hawkins,,1,31,18,23.9,4.6,10.5,0.43799999999999994,2.7,5.4,0.506,1.8,5.0,0.365,1.9,2.5,0.789,0.3,0.8,1.2,1.5,0.8,0.1,2.3,2.6,12.9
Parker Wentz,2015,1101,Abilene Chr,Parker,Wentz,,2,31,31,28.8,3.5,8.5,0.42,1.5,3.7,0.42100000000000004,2.0,4.8,0.419,2.6,3.0,0.851,0.3,1.8,2.0,1.4,1.5,0.1,1.5,2.1,11.7
LaDarrien Williams,2015,1101,Abilene Chr,LaDarrien,Williams,,3,31,14,24.1,3.5,8.9,0.39899999999999997,2.5,5.9,0.426,1.0,3.0,0.344,1.7,2.0,0.8390000000000001,1.0,3.4,4.4,2.0,0.9,0.1,2.1,2.3,9.8
Austin Cooke,2015,1101,Abilene Chr,Austin,Cooke,,4,31,31,29.1,3.3,7.5,0.442,1.6,3.5,0.455,1.7,4.0,0.431,1.3,1.7,0.7879999999999999,1.5,4.6,6.0,0.9,0.5,0.1,1.3,2.8,9.7
Christian Albright,2015,1101,Abilene Chr,Christian,Albright,,5,20,11,13.5,1.8,4.2,0.429,1.8,4.1,0.439,0.0,0.1,0.0,0.6,0.9,0.647,1.1,2.2,3.3,1.0,0.3,0.5,1.3,1.9,4.2
Duran Porter,2015,1101,Abilene Chr,Duran,Porter,,6,31,3,13.5,1.7,3.4,0.5,1.7,3.4,0.5,0.0,0.0,,0.6,1.3,0.5,0.9,1.4,2.3,0.3,0.2,0.4,0.9,2.4,4.0
Jalen Little,2015,1101,Abilene Chr,Jalen,Little,,7,31,30,25.9,0.9,3.1,0.281,0.5,1.9,0.259,0.4,1.2,0.316,0.8,1.1,0.7879999999999999,0.2,1.9,2.1,3.6,0.9,0.0,1.6,2.0,3.0
Riley Payne,2015,1101,Abilene Chr,Riley,Payne,,8,30,17,14.6,1.1,2.4,0.45799999999999996,1.1,2.4,0.45799999999999996,0.0,0.0,,0.4,0.9,0.39299999999999996,0.9,0.9,1.8,0.3,0.1,0.0,0.4,2.2,2.6
Drake Green,2015,1101,Abilene Chr,Drake,Green,,9,28,0,8.7,0.9,2.8,0.316,0.8,2.2,0.344,0.1,0.6,0.222,0.3,0.6,0.563,0.1,0.6,0.8,0.5,0.3,0.1,0.5,1.0,2.3
Isaiah Tripp,2015,1101,Abilene Chr,Isaiah,Tripp,,10,29,0,7.2,0.8,1.8,0.442,0.6,1.4,0.429,0.2,0.3,0.5,0.5,0.9,0.6,0.4,0.7,1.1,0.4,0.2,0.0,0.3,1.1,2.3
Michael Grant,2015,1101,Abilene Chr,Michael,Grant,,11,25,0,8.6,0.6,1.8,0.341,0.6,1.7,0.349,0.0,0.0,0.0,1.0,1.5,0.649,0.5,0.8,1.4,0.2,0.7,0.0,0.6,1.4,2.2
K.J. Maura,2015,1101,Abilene Chr,K.J.,Maura,,12,17,0,11.5,0.6,1.9,0.344,0.3,0.8,0.35700000000000004,0.4,1.1,0.33299999999999996,0.3,0.3,1.0,0.4,1.0,1.4,1.8,0.5,0.0,0.9,0.9,1.9
Alexsander Milosavljevic,2015,1101,Abilene Chr,Alexsander,Milosavljevic,,13,21,0,4.2,0.3,1.0,0.35,0.3,1.0,0.35,0.0,0.0,,0.0,0.0,,0.6,0.3,0.9,0.0,0.0,0.0,0.3,0.4,0.7
David Hanson,2015,1101,Abilene Chr,David,Hanson,,14,13,0,2.7,0.1,0.5,0.16699999999999998,0.0,0.2,0.0,0.1,0.2,0.33299999999999996,0.0,0.2,0.0,0.1,0.2,0.3,0.4,0.1,0.1,0.2,0.3,0.2
Jaylen Franklin,2016,1101,Abilene Chr,Jaylen,Franklin,,1,30,23,29.4,5.9,11.4,0.513,5.6,10.5,0.5329999999999999,0.3,0.9,0.28600000000000003,4.2,6.9,0.612,0.8,3.1,3.8,2.7,1.7,0.1,2.8,2.8,16.2
Jaren Lewis,2016,1101,Abilene Chr,Jaren,Lewis,,2,31,11,21.7,3.5,7.0,0.505,2.9,5.5,0.529,0.6,1.5,0.413,1.7,2.4,0.726,1.2,4.6,5.8,1.3,1.1,0.6,1.1,2.1,9.4
Parker Wentz,2016,1101,Abilene Chr,Parker,Wentz,,3,31,28,29.6,2.8,6.5,0.431,0.6,1.5,0.375,2.2,5.0,0.44799999999999995,0.8,1.0,0.8390000000000001,0.2,1.6,1.8,0.9,1.2,0.1,0.9,2.1,8.7
Duran Porter,2016,1101,Abilene Chr,Duran,Porter,,4,31,30,19.8,3.3,5.7,0.585,3.3,5.7,0.585,0.0,0.0,,1.6,2.4,0.653,1.2,2.5,3.7,0.6,0.3,0.9,1.4,2.8,8.2
Jovan Crnic,2016,1101,Abilene Chr,Jovan,Crnic,,5,31,14,20.6,2.3,6.2,0.37,1.2,3.1,0.396,1.1,3.1,0.344,1.4,1.8,0.8,0.3,2.3,2.5,2.5,0.7,0.1,2.2,2.1,7.1
Austin Cooke,2016,1101,Abilene Chr,Austin,Cooke,,6,30,19,19.2,1.9,5.0,0.376,0.7,1.7,0.4,1.2,3.3,0.364,1.6,2.0,0.831,1.3,2.4,3.7,0.6,0.5,0.1,0.9,2.4,6.6
Jalen Little,2016,1101,Abilene Chr,Jalen,Little,,7,26,22,28.3,1.8,4.8,0.384,1.0,2.4,0.413,0.8,2.4,0.355,1.6,1.9,0.8370000000000001,0.3,2.6,3.0,4.5,1.3,0.1,1.9,2.6,6.1
Hayden Howell,2016,1101,Abilene Chr,Hayden,Howell,,8,31,3,11.4,1.4,3.0,0.457,1.4,3.0,0.457,0.0,0.0,,1.1,1.7,0.6729999999999999,1.2,1.0,2.2,0.2,0.2,0.4,1.2,1.8,3.8
Isaiah Tripp,2016,1101,Abilene Chr,Isaiah,Tripp,,9,29,1,10.8,0.9,1.9,0.48200000000000004,0.6,1.1,0.563,0.3,0.8,0.375,0.8,0.9,0.815,0.3,0.6,0.9,0.6,0.2,0.0,0.5,1.2,2.9
Hayden Farquhar,2016,1101,Abilene Chr,Hayden,Farquhar,,10,30,1,8.3,1.0,2.4,0.43700000000000006,0.8,1.5,0.523,0.3,0.9,0.29600000000000004,0.2,0.5,0.375,0.5,1.2,1.6,0.3,0.2,0.0,0.6,1.3,2.5
Drake Green,2016,1101,Abilene Chr,Drake,Green,,11,29,3,10.1,0.7,2.8,0.25,0.5,1.6,0.326,0.2,1.2,0.147,0.2,0.3,0.7,0.4,1.0,1.4,0.3,0.3,0.2,0.5,1.5,1.8
Jalone Friday,2017,1101,Abilene Chr,Jalone,Friday,,1,26,11,21.7,4.7,9.0,0.523,3.3,6.0,0.5579999999999999,1.4,3.0,0.456,2.9,3.5,0.8240000000000001,1.6,3.9,5.5,0.3,0.5,1.3,1.6,3.7,13.7
Jaren Lewis,2017,1101,Abilene Chr,Jaren,Lewis,,2,29,29,32.4,5.1,10.0,0.512,4.7,8.8,0.537,0.4,1.2,0.324,3.1,4.3,0.72,1.3,5.2,6.6,2.1,1.8,0.4,2.6,2.5,13.7
Jaylen Franklin,2017,1101,Abilene Chr,Jaylen,Franklin,,3,26,25,34.5,4.4,9.5,0.46399999999999997,4.2,8.5,0.5,0.2,1.1,0.179,1.8,4.2,0.435,0.5,3.3,3.8,4.4,1.8,0.3,2.5,2.4,10.8
Jovan Crnic,2017,1101,Abilene Chr,Jovan,Crnic,,4,13,11,28.2,2.6,6.4,0.41,0.9,1.5,0.6,1.7,4.8,0.349,1.1,1.5,0.7,0.4,2.1,2.5,3.1,0.6,0.1,1.5,1.6,8.0
Hayden Farquhar,2017,1101,Abilene Chr,Hayden,Farquhar,,5,29,6,14.2,2.4,4.9,0.493,1.2,2.2,0.531,1.2,2.7,0.462,0.5,0.8,0.625,1.0,2.2,3.1,0.7,0.3,0.2,0.9,1.9,6.6
Isaiah Tripp,2017,1101,Abilene Chr,Isaiah,Tripp,,6,29,14,22.8,1.9,4.4,0.426,0.9,1.8,0.529,1.0,2.7,0.359,1.3,1.6,0.787,0.3,1.2,1.4,1.6,0.6,0.0,1.1,2.4,6.0
Drake Green,2017,1101,Abilene Chr,Drake,Green,,7,27,19,24.0,1.9,4.8,0.38799999999999996,0.2,0.7,0.3,1.6,4.0,0.40399999999999997,0.3,0.3,1.0,0.1,1.9,2.0,1.1,0.8,0.2,0.9,2.3,5.7
Hayden Howell,2017,1101,Abilene Chr,Hayden,Howell,,8,29,20,15.6,2.0,4.4,0.45299999999999996,2.0,4.3,0.46,0.0,0.1,0.25,1.1,2.0,0.552,1.3,1.8,3.1,0.6,0.2,0.4,1.5,2.7,5.1
Payten Ricks,2017,1101,Abilene Chr,Payten,Ricks,,9,28,5,13.4,1.0,2.8,0.359,0.7,1.5,0.452,0.3,1.3,0.25,1.1,1.6,0.711,0.1,0.9,1.0,1.2,0.7,0.0,1.3,1.2,3.5
B.J. Maxwell,2017,1101,Abilene Chr,B.J.,Maxwell,,10,17,0,10.5,1.4,2.8,0.489,0.7,1.4,0.522,0.6,1.4,0.45799999999999996,0.1,0.1,1.0,0.8,1.1,1.9,0.6,0.3,0.2,0.7,1.8,3.4
Diamante Langston,2017,1101,Abilene Chr,Diamante,Langston,,11,25,5,8.0,0.4,0.7,0.5,0.4,0.6,0.563,0.0,0.1,0.0,0.2,0.5,0.462,0.0,0.6,0.6,0.6,0.3,0.0,0.8,0.9,1.0
Trey Lenox,2017,1101,Abilene Chr,Trey,Lenox,,12,26,0,7.7,0.3,1.1,0.28600000000000003,0.2,0.5,0.28600000000000003,0.2,0.5,0.28600000000000003,0.1,0.1,0.667,0.1,0.6,0.7,0.4,0.2,0.0,0.6,1.2,0.8
Jadon Reynolds,2017,1101,Abilene Chr,Jadon,Reynolds,,13,5,0,1.6,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0
Jalone Friday,2018,1101,Abilene Chr,Jalone,Friday,,1,32,28,22.3,5.0,11.0,0.456,3.6,6.8,0.528,1.4,4.2,0.341,1.8,2.6,0.7020000000000001,1.2,3.9,5.1,0.5,0.3,1.6,1.7,3.5,13.3
Jaren Lewis,2018,1101,Abilene Chr,Jaren,Lewis,,2,32,32,31.2,5.0,9.1,0.546,4.6,8.0,0.573,0.4,1.1,0.361,2.8,3.6,0.7909999999999999,2.5,5.3,7.7,1.8,1.6,0.9,2.3,2.4,13.2
Tevin Foster,2018,1101,Abilene Chr,Tevin,Foster,,3,32,30,32.4,3.8,9.1,0.419,2.4,4.6,0.521,1.4,4.5,0.317,3.3,4.1,0.802,0.6,2.5,3.1,3.5,1.5,0.1,2.6,2.3,12.3
Jaylen Franklin,2018,1101,Abilene Chr,Jaylen,Franklin,,4,32,32,32.1,4.4,8.0,0.557,4.3,7.3,0.59,0.1,0.7,0.19,1.5,2.8,0.539,1.1,2.8,3.9,4.5,1.8,0.2,2.7,2.4,10.5
Payten Ricks,2018,1101,Abilene Chr,Payten,Ricks,,5,26,17,22.5,2.0,5.3,0.387,1.0,2.6,0.382,1.0,2.7,0.391,1.5,2.0,0.745,0.3,1.5,1.8,1.7,0.8,0.0,1.3,1.7,6.6
Drake Green,2018,1101,Abilene Chr,Drake,Green,,6,32,8,16.4,1.5,3.5,0.423,0.5,0.8,0.6,1.0,2.7,0.37200000000000005,0.2,0.2,0.857,0.1,1.1,1.2,0.9,0.5,0.1,0.8,1.9,4.1
Hayden Howell,2018,1101,Abilene Chr,Hayden,Howell,,7,32,3,10.2,1.6,3.0,0.526,1.4,2.6,0.5539999999999999,0.1,0.4,0.33299999999999996,0.6,0.9,0.6,0.7,1.3,2.0,0.3,0.2,0.1,0.8,1.8,3.8
Hayden Farquhar,2018,1101,Abilene Chr,Hayden,Farquhar,,8,31,1,9.7,1.4,3.6,0.37799999999999995,0.8,1.3,0.634,0.5,2.3,0.22899999999999998,0.3,0.5,0.588,0.5,2.0,2.5,0.4,0.4,0.3,0.6,1.3,3.5
B.J. Maxwell,2018,1101,Abilene Chr,B.J.,Maxwell,,9,31,2,9.9,1.4,3.0,0.467,1.0,2.0,0.525,0.4,1.0,0.355,0.3,0.5,0.563,0.9,1.4,2.2,0.6,0.3,0.4,0.5,1.7,3.4
Isaiah Tripp,2018,1101,Abilene Chr,Isaiah,Tripp,,10,27,5,12.0,1.0,2.6,0.371,0.5,1.2,0.39399999999999996,0.5,1.4,0.35100000000000003,0.4,0.6,0.688,0.1,0.9,1.0,0.9,0.6,0.0,0.6,0.9,2.8
Kolton Kohl,2018,1101,Abilene Chr,Kolton,Kohl,,11,25,0,4.2,0.6,1.4,0.41700000000000004,0.6,1.4,0.41700000000000004,0.0,0.0,,0.4,0.7,0.5,0.3,0.6,0.9,0.1,0.0,0.4,0.3,1.0,1.6
Paul Hiepler,2018,1101,Abilene Chr,Paul,Hiepler,,12,4,0,2.0,0.5,0.8,0.667,0.3,0.3,1.0,0.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.8,0.0,0.3,0.0,0.3,0.0,1.3
Trey Lenox,2018,1101,Abilene Chr,Trey,Lenox,,13,29,2,5.9,0.2,0.7,0.35,0.2,0.5,0.467,0.0,0.2,0.0,0.1,0.2,0.4,0.1,0.7,0.8,0.3,0.4,0.0,0.3,0.9,0.6
Chase Cobb,2018,1101,Abilene Chr,Chase,Cobb,,14,6,0,3.7,0.2,1.5,0.111,0.2,0.3,0.5,0.0,1.2,0.0,0.0,0.0,,0.2,0.2,0.3,0.7,0.2,0.0,0.7,0.5,0.3
Jaren Lewis,2019,1101,Abilene Chr,Jaren,Lewis,,1,34,34,31.1,5.2,11.2,0.466,4.8,10.0,0.48200000000000004,0.4,1.2,0.33299999999999996,2.9,4.0,0.733,2.3,3.9,6.1,2.7,1.6,0.6,1.8,1.9,13.8
Jalone Friday,2019,1101,Abilene Chr,Jalone,Friday,,2,23,23,21.8,4.9,10.4,0.473,3.7,7.0,0.519,1.3,3.3,0.377,2.0,2.6,0.78,1.1,3.6,4.7,1.0,0.7,1.0,2.0,3.1,13.1
Payten Ricks,2019,1101,Abilene Chr,Payten,Ricks,,3,34,33,32.3,3.7,8.7,0.42100000000000004,1.3,2.7,0.478,2.4,6.0,0.395,1.9,2.2,0.8420000000000001,0.2,2.6,2.8,1.9,1.7,0.0,1.4,2.2,11.6
Jaylen Franklin,2019,1101,Abilene Chr,Jaylen,Franklin,,4,34,33,32.1,3.9,7.2,0.535,3.6,6.6,0.542,0.3,0.6,0.45,2.2,3.7,0.591,0.4,3.3,3.7,4.9,1.8,0.2,2.1,2.6,10.2
B.J. Maxwell,2019,1101,Abilene Chr,B.J.,Maxwell,,5,24,18,26.8,3.3,6.7,0.491,1.9,3.2,0.584,1.4,3.5,0.405,1.2,1.4,0.853,1.5,3.2,4.7,1.7,1.1,0.4,0.8,2.7,9.2
Hayden Farquhar,2019,1101,Abilene Chr,Hayden,Farquhar,,6,34,6,14.1,2.5,4.9,0.5,1.5,2.4,0.625,1.0,2.6,0.386,0.6,1.0,0.647,1.0,1.5,2.6,0.8,0.6,0.2,0.7,2.1,6.6
Joe Pleasant,2019,1101,Abilene Chr,Joe,Pleasant,,7,34,2,14.6,2.0,3.7,0.54,1.9,3.3,0.5710000000000001,0.1,0.4,0.28600000000000003,1.5,2.3,0.654,1.0,1.6,2.6,0.3,0.3,0.1,1.1,1.7,5.6
Damien Daniels,2019,1101,Abilene Chr,Damien,Daniels,,8,34,6,15.0,1.2,3.3,0.354,0.7,1.8,0.41700000000000004,0.4,1.6,0.28300000000000003,0.6,0.8,0.8079999999999999,0.4,1.2,1.6,1.8,0.6,0.0,0.9,1.4,3.4
Trey Lenox,2019,1101,Abilene Chr,Trey,Lenox,,9,34,8,15.3,0.7,1.8,0.40299999999999997,0.3,0.7,0.36,0.5,1.1,0.43200000000000005,0.3,0.3,1.0,0.2,1.0,1.2,0.6,0.4,0.0,0.6,1.4,2.2
Clay Gayman,2019,1101,Abilene Chr,Clay,Gayman,,10,31,2,5.0,0.7,1.5,0.45799999999999996,0.5,0.9,0.483,0.3,0.6,0.42100000000000004,0.4,0.6,0.611,0.5,0.5,1.0,0.3,0.2,0.1,0.5,0.4,2.0
Kolton Kohl,2019,1101,Abilene Chr,Kolton,Kohl,,11,31,5,4.6,0.6,1.3,0.462,0.6,1.3,0.462,0.0,0.0,,0.7,1.1,0.657,0.7,0.9,1.6,0.2,0.2,0.4,0.4,0.6,1.9
Tobias Cameron,2019,1101,Abilene Chr,Tobias,Cameron,,12,23,0,3.7,0.3,0.7,0.41200000000000003,0.2,0.3,0.667,0.1,0.5,0.273,0.1,0.1,0.667,0.3,0.5,0.8,0.2,0.1,0.0,0.3,0.3,0.8
Chase Cobb,2019,1101,Abilene Chr,Chase,Cobb,,13,18,0,2.4,0.3,0.4,0.625,0.1,0.1,1.0,0.2,0.3,0.5,0.1,0.2,0.5,0.1,0.2,0.2,0.0,0.1,0.0,0.2,0.2,0.8
Paul Hiepler,2019,1101,Abilene Chr,Paul,Hiepler,,14,16,0,1.6,0.1,0.4,0.33299999999999996,0.1,0.1,0.5,0.1,0.3,0.25,0.1,0.2,0.667,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.3,0.4
Max Yon,2015,1102,Air Force,Max,Yon,,1,25,17,28.2,4.5,9.7,0.46299999999999997,2.8,5.2,0.5429999999999999,1.7,4.5,0.37200000000000005,1.8,2.7,0.647,0.3,2.0,2.4,2.2,0.5,0.2,2.0,1.4,12.4
Marek Olesinski,2015,1102,Air Force,Marek,Olesinski,,2,31,31,29.9,3.6,7.2,0.505,2.2,3.5,0.626,1.5,3.7,0.391,1.3,1.8,0.696,1.3,3.5,4.7,1.8,0.7,0.3,1.1,1.6,9.9
Kamryn Williams,2015,1102,Air Force,Kamryn,Williams,,3,11,11,28.2,3.5,7.1,0.48700000000000004,3.3,5.7,0.5710000000000001,0.2,1.4,0.133,2.4,3.2,0.743,2.3,3.7,6.0,2.7,1.5,0.8,2.3,2.6,9.5
Zach Kocur,2015,1102,Air Force,Zach,Kocur,,4,30,15,23.0,3.0,6.0,0.503,1.1,2.0,0.5589999999999999,1.9,4.0,0.475,0.8,1.3,0.625,0.6,1.7,2.3,2.1,0.4,0.1,1.2,2.3,8.7
Trevor Lyons,2015,1102,Air Force,Trevor,Lyons,,5,31,26,27.9,2.7,6.0,0.452,1.9,4.2,0.457,0.8,1.8,0.439,1.7,2.5,0.688,0.4,2.1,2.5,2.2,1.3,0.0,1.0,1.8,7.9
Hayden Graham,2015,1102,Air Force,Hayden,Graham,,6,30,18,23.8,3.2,6.8,0.46799999999999997,2.8,4.7,0.603,0.4,2.1,0.172,1.0,1.5,0.667,1.4,2.9,4.3,1.3,0.5,0.2,1.3,2.1,7.8
Matt Mooney,2015,1102,Air Force,Matt,Mooney,,7,29,8,19.2,2.6,5.7,0.44799999999999995,1.6,3.1,0.5,1.0,2.6,0.387,0.8,1.0,0.7859999999999999,0.4,1.5,1.9,1.8,0.8,0.1,1.1,1.1,6.9
Justin Hammonds,2015,1102,Air Force,Justin,Hammonds,,8,25,22,21.0,2.3,4.2,0.547,2.1,3.8,0.564,0.2,0.5,0.41700000000000004,1.6,2.6,0.609,0.9,2.8,3.7,2.0,0.8,0.2,1.7,3.0,6.4
Zach Moer,2015,1102,Air Force,Zach,Moer,,9,30,0,8.6,1.1,2.2,0.508,0.9,1.8,0.509,0.2,0.3,0.5,0.4,0.5,0.8,0.6,1.0,1.6,0.4,0.2,0.5,0.9,1.8,2.8
DeLovell Earls,2015,1102,Air Force,DeLovell,Earls,,10,19,4,11.7,0.8,1.9,0.405,0.7,1.6,0.467,0.1,0.4,0.14300000000000002,0.5,0.8,0.625,0.5,1.3,1.8,1.6,0.5,0.1,0.8,2.2,2.2
C.J. Siples,2015,1102,Air Force,C.J.,Siples,,11,18,1,6.9,0.6,1.0,0.556,0.5,0.8,0.6,0.1,0.2,0.33299999999999996,0.4,0.9,0.47100000000000003,0.1,0.6,0.6,0.6,0.3,0.2,0.5,0.8,1.6
Lake Lutes,2015,1102,Air Force,Lake,Lutes,,12,4,0,2.5,0.5,1.0,0.5,0.0,0.3,0.0,0.5,0.8,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5
Ryan Manning,2015,1102,Air Force,Ryan,Manning,,13,28,1,7.8,0.5,1.4,0.325,0.3,0.6,0.43799999999999994,0.2,0.9,0.25,0.3,0.4,0.583,0.5,0.7,1.2,0.4,0.1,0.1,0.3,0.8,1.4
Jacob Van,2015,1102,Air Force,Jacob,Van,,14,7,0,2.9,0.3,0.7,0.4,0.1,0.3,0.5,0.1,0.4,0.33299999999999996,0.1,0.3,0.5,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.0,0.9
Dezmond James,2015,1102,Air Force,Dezmond,James,,15,7,0,3.3,0.1,0.9,0.16699999999999998,0.1,0.4,0.33299999999999996,0.0,0.4,0.0,0.3,0.3,1.0,0.0,0.9,0.9,0.1,0.1,0.0,0.3,0.1,0.6
Frank Toohey,2015,1102,Air Force,Frank,Toohey,,16,6,0,3.0,0.2,0.3,0.5,0.2,0.3,0.5,0.0,0.0,,0.2,1.0,0.16699999999999998,0.3,0.8,1.2,0.2,0.0,0.0,0.0,0.5,0.5
Kyle Broekhuis,2015,1102,Air Force,Kyle,Broekhuis,,17,9,0,3.4,0.1,0.6,0.2,0.1,0.4,0.25,0.0,0.1,0.0,0.2,0.4,0.5,0.2,0.8,1.0,0.3,0.2,0.0,0.3,0.4,0.4
Brendan Leonard,2015,1102,Air Force,Brendan,Leonard,,18,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hayden Graham,2016,1102,Air Force,Hayden,Graham,,1,31,31,35.9,5.4,11.2,0.484,4.3,8.3,0.52,1.1,2.9,0.385,1.8,2.8,0.655,1.6,4.6,6.2,2.2,1.1,0.3,2.0,2.8,13.8
Trevor Lyons,2016,1102,Air Force,Trevor,Lyons,,2,22,22,32.1,3.8,9.6,0.39299999999999996,2.9,7.0,0.41200000000000003,0.9,2.6,0.345,4.2,6.5,0.6459999999999999,0.4,3.1,3.5,2.8,1.4,0.0,1.9,1.9,12.7
Zach Kocur,2016,1102,Air Force,Zach,Kocur,,3,32,32,30.2,3.2,8.3,0.389,1.4,3.3,0.43,1.8,4.9,0.361,1.3,1.9,0.7170000000000001,0.5,4.8,5.3,2.0,1.2,0.0,2.0,2.3,9.6
Zach Moer,2016,1102,Air Force,Zach,Moer,,4,29,22,19.8,3.1,6.8,0.46,2.8,5.7,0.494,0.3,1.2,0.294,2.0,2.7,0.753,1.1,2.9,4.0,1.0,0.4,0.8,1.8,2.9,8.6
C.J. Siples,2016,1102,Air Force,C.J.,Siples,,5,32,12,22.1,2.2,4.3,0.514,1.6,3.0,0.531,0.6,1.3,0.47600000000000003,1.4,2.2,0.652,0.3,2.6,2.9,2.2,0.9,0.3,1.3,2.2,6.5
Ryan Manning,2016,1102,Air Force,Ryan,Manning,,6,5,3,20.8,2.0,6.6,0.303,1.6,3.8,0.42100000000000004,0.4,2.8,0.14300000000000002,1.8,1.8,1.0,1.4,1.0,2.4,1.2,0.2,0.8,0.6,1.6,6.2
Jacob Van,2016,1102,Air Force,Jacob,Van,,7,28,8,14.1,2.1,4.4,0.47200000000000003,1.4,2.9,0.494,0.6,1.5,0.429,1.2,1.5,0.767,0.3,0.9,1.1,1.0,0.6,0.0,1.0,0.8,6.0
Frank Toohey,2016,1102,Air Force,Frank,Toohey,,8,26,9,14.1,1.6,3.2,0.512,1.3,2.4,0.556,0.3,0.7,0.368,2.0,2.8,0.726,1.5,1.5,2.9,0.5,0.2,0.2,0.9,2.4,5.5
Pervis Louder,2016,1102,Air Force,Pervis,Louder,,9,18,2,11.7,1.3,3.1,0.41100000000000003,1.0,2.3,0.439,0.3,0.8,0.33299999999999996,1.2,1.7,0.71,0.7,1.2,1.9,0.5,0.5,0.0,0.9,1.7,4.1
Kyle Broekhuis,2016,1102,Air Force,Kyle,Broekhuis,,10,31,15,16.2,1.1,2.7,0.39799999999999996,0.7,1.6,0.46,0.3,1.1,0.303,0.9,1.3,0.675,0.8,2.0,2.8,0.7,0.2,0.1,0.9,1.6,3.3
Dezmond James,2016,1102,Air Force,Dezmond,James,,11,32,2,12.4,0.9,3.0,0.316,0.8,1.9,0.387,0.2,1.0,0.182,0.6,1.1,0.588,0.3,1.1,1.4,0.8,0.3,0.0,0.7,0.9,2.7
Joe Tuss,2016,1102,Air Force,Joe,Tuss,,12,30,2,11.6,1.0,3.5,0.27899999999999997,0.7,2.0,0.32799999999999996,0.3,1.4,0.209,0.5,0.9,0.519,0.5,1.4,1.9,0.6,0.2,0.0,0.7,1.5,2.7
Jace Chacon,2016,1102,Air Force,Jace,Chacon,,13,4,0,2.8,0.8,1.0,0.75,0.8,0.8,1.0,0.0,0.3,0.0,0.3,0.3,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,1.8
Dane Norman,2016,1102,Air Force,Dane,Norman,,14,15,0,3.0,0.4,0.8,0.5,0.3,0.5,0.625,0.1,0.3,0.25,0.2,0.4,0.5,0.2,0.5,0.7,0.1,0.0,0.1,0.1,0.2,1.1
Brendan Leonard,2016,1102,Air Force,Brendan,Leonard,,15,3,0,3.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,1.0,1.3,0.75,0.3,0.3,0.7,0.0,0.0,0.0,0.7,0.0,1.0
Danny Hummer,2016,1102,Air Force,Danny,Hummer,,16,10,0,3.8,0.2,0.9,0.222,0.0,0.1,0.0,0.2,0.8,0.25,0.2,0.2,1.0,0.1,0.1,0.2,0.4,0.2,0.0,0.3,0.9,0.8
Malik Abbott,2016,1102,Air Force,Malik,Abbott,,17,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.8,1.0,0.3,0.0,0.0,0.3,0.3,0.0
Jason Anderson,2016,1102,Air Force,Jason,Anderson,,18,2,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Clark,2016,1102,Air Force,Dylan,Clark,,19,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Cooper,2016,1102,Air Force,David,Cooper,,20,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Graham,2017,1102,Air Force,Hayden,Graham,,1,32,32,29.4,4.7,9.9,0.473,3.4,6.5,0.527,1.3,3.4,0.373,1.9,2.8,0.6779999999999999,1.3,4.5,5.8,2.0,0.7,0.6,1.5,2.7,12.6
Frank Toohey,2017,1102,Air Force,Frank,Toohey,,2,33,32,24.8,3.5,6.8,0.52,2.9,5.2,0.555,0.6,1.6,0.40399999999999997,3.0,3.7,0.797,1.9,2.6,4.5,1.6,0.4,0.3,1.8,3.4,10.7
Jacob Van,2017,1102,Air Force,Jacob,Van,,3,33,28,28.6,3.3,7.5,0.444,2.3,4.9,0.47200000000000003,1.0,2.6,0.391,2.9,3.5,0.836,0.2,2.3,2.5,2.8,0.5,0.0,1.7,1.1,10.6
